pair,score,friends
776-1174,102,non
6207-776,48,non
22-776,75,non
776-956,37,non
776-842,218,friends
5604-776,47,non
819-776,95,non
130-776,57,non
19096-776,55,non
776-3236,113,non
1922-776,72,non
18584-776,70,non
4900-776,22,non
3279-776,33,non
1307-776,46,non
337-776,64,non
3756-776,47,non
776-1940,33,non
776-1201,28,non
1198-776,40,non
6156-776,68,non
19401-776,30,non
776-2704,64,non
1440-776,25,non
661-776,16,non
776-898,29,non
3206-776,58,non
2810-776,57,non
786-776,46,non
776-2193,23,non
588-776,56,non
446-776,121,non
11060-776,39,non
4794-776,43,non
776-111,101,non
2798-776,35,non
2319-776,24,non
4806-776,66,non
4858-776,21,non
3631-776,41,non
4929-776,124,non
3328-776,85,non
116441-776,19,non
1203-776,29,non
486-776,50,non
1274-776,44,non
401-776,64,non
4302-776,27,non
3003-776,136,non
984-776,32,non
241-776,18,non
756-776,26,friends
4902-776,16,non
19404-776,61,non
48860-776,142,non
10837-776,52,non
3395-776,64,non
6155-776,40,non
4804-776,22,non
3463-776,22,non
4785-776,34,non
4466-776,20,non
2355-776,26,non
4815-776,34,non
3273-776,39,non
457-776,65,non
12788-776,21,non
211-776,25,non
4368-776,28,non
776-1414,37,non
109821-776,28,non
18898-776,110,non
531-776,28,non
158-776,28,non
226-776,47,non
18517-776,14,non
776-3439,42,non
14446-776,34,non
776-3440,33,non
776-24266,19,non
6038-776,28,non
11097-776,45,non
3682-776,60,non
332-776,59,non
436-776,42,non
4678-776,22,non
6199-776,48,non
350-776,51,non
3295-776,22,non
4318-776,33,non
472-776,40,non
3165-776,21,non
124-776,41,non
10812-776,73,non
3667-776,26,non
135-776,32,non
267-776,73,non
573-776,45,non
11096-776,69,non
98-776,28,non
521-776,27,non
10467-776,31,non
2890-776,75,non
3425-776,31,non
3396-776,28,non
776-44256,19,non
131-776,54,non
887-776,42,non
6116-776,42,non
490-776,24,non
247-776,16,non
494-776,23,non
3379-776,31,non
776-8606,15,non
313-776,29,non
3480-776,21,non
533-776,27,non
5717-776,38,non
323-776,26,non
510-776,29,non
4517-776,20,non
3359-776,11,non
1773-776,39,non
2800-776,21,non
11295-776,67,non
2241-776,38,non
6207-1174,42,non
22-1174,99,friends
1174-956,50,friends
1174-842,40,friends
2-1174,25,friends
1351-1174,52,non
5604-1174,56,non
819-1174,96,non
130-1174,81,non
19096-1174,102,non
3236-1174,122,non
1174-1922,80,friends
18584-1174,140,non
4900-1174,29,non
3279-1174,32,non
1307-1174,68,non
337-1174,86,non
3756-1174,71,non
1174-1201,60,friends
1198-1174,37,non
4989-1174,27,non
6156-1174,83,non
19401-1174,47,non
1174-2704,63,non
1174-1440,15,non
661-1174,28,non
1174-898,29,non
3206-1174,67,non
2810-1174,102,non
2357-1174,68,friends
10764-1174,27,non
786-1174,84,non
1542-1174,19,non
1174-2193,14,non
588-1174,83,non
446-1174,153,non
1404-1174,32,non
11060-1174,61,non
4794-1174,46,non
753-1174,38,non
1174-111,119,non
10727-1174,27,non
2798-1174,58,friends
2319-1174,31,friends
4806-1174,48,non
4858-1174,21,non
3631-1174,81,non
4929-1174,82,non
3328-1174,111,friends
1174-19294,19,non
116441-1174,34,non
486-1174,63,non
1274-1174,87,non
401-1174,92,friends
11067-1174,28,non
53-1174,60,friends
4302-1174,50,non
491-1174,24,non
3003-1174,155,non
984-1174,24,friends
1174-756,19,friends
4797-1174,22,non
4161-1174,49,non
3935-1174,28,non
4902-1174,31,non
19404-1174,71,non
48860-1174,127,non
10837-1174,33,non
4730-1174,21,non
3395-1174,51,non
4985-1174,27,non
6155-1174,56,non
3463-1174,71,non
10393-1174,33,non
1400-1174,21,non
4785-1174,39,non
3128-1174,48,non
4466-1174,44,non
2355-1174,62,non
4815-1174,71,non
1108-1174,24,non
1346-1174,69,friends
3273-1174,59,non
10410-1174,35,non
28448-1174,34,non
457-1174,120,non
12788-1174,88,non
211-1174,41,non
4368-1174,62,non
1174-1414,31,non
10582-1174,28,non
109821-1174,35,non
18898-1174,101,non
531-1174,68,non
10624-1174,42,non
4855-1174,69,non
3252-1174,53,non
177-1174,50,non
158-1174,42,non
226-1174,37,non
4435-1174,24,friends
170-1174,45,non
4489-1174,21,non
578-1174,39,non
18517-1174,18,non
4879-1174,33,non
1174-2413,27,non
976-1174,41,non
49624-1174,34,non
3439-1174,26,non
14446-1174,44,non
3440-1174,97,non
3245-1174,45,non
1174-24266,25,non
469-1174,36,non
11097-1174,34,non
3682-1174,67,non
332-1174,133,non
436-1174,40,non
4678-1174,40,non
10938-1174,86,non
350-1174,68,non
3087-1174,23,non
41069-1174,33,non
3295-1174,41,non
14406-1174,27,non
1052-1174,28,non
4318-1174,37,non
4936-1174,69,non
472-1174,48,non
3165-1174,58,non
124-1174,72,non
10812-1174,58,non
3667-1174,41,non
4923-1174,51,non
1146-1174,65,non
2947-1174,21,non
135-1174,69,non
267-1174,93,non
573-1174,44,non
18748-1174,22,non
11096-1174,76,non
123684-1174,29,non
98-1174,40,non
521-1174,39,non
1148-1174,18,friends
10467-1174,23,non
12876-1174,76,non
1174-39034,53,non
3155-1174,28,non
2890-1174,40,friends
3425-1174,62,non
3129-1174,56,non
1282-1174,28,non
3396-1174,31,non
44256-1174,28,non
131-1174,47,non
3336-1174,22,non
887-1174,60,non
4864-1174,37,non
6116-1174,59,non
490-1174,39,non
494-1174,50,non
3379-1174,39,non
19544-1174,23,non
313-1174,62,non
4738-1174,24,non
19709-1174,30,non
15505-1174,24,non
176-1174,39,non
3229-1174,32,friends
1388-1174,21,non
6278-1174,25,non
3480-1174,29,non
533-1174,46,non
10904-1174,28,non
10683-1174,27,non
5717-1174,59,non
6195-1174,19,non
4478-1174,26,non
120553-1174,21,non
323-1174,24,friends
510-1174,45,non
4517-1174,57,non
221-1174,46,non
1174-3359,16,non
101-1174,40,non
1773-1174,36,non
4690-1174,23,non
11295-1174,38,non
2241-1174,39,non
4319-1174,39,non
6207-2,21,non
6207-5604,175,non
130-6207,308,friends
6207-3236,28,non
6207-18584,42,non
6207-1307,28,non
6207-19401,26,non
6207-2357,86,non
10764-6207,109,non
6207-446,24,non
6207-11060,79,non
6207-108899,29,non
6207-10727,37,non
6207-2798,32,non
6207-3328,32,non
6207-116441,46,non
6207-53,50,friends
6207-4302,118,non
6207-3003,22,non
48860-6207,31,non
6207-3463,98,non
3128-6207,38,non
6207-4466,97,non
6207-2355,40,non
6207-4815,60,non
6207-1346,23,non
6207-457,72,non
6207-12788,44,non
6207-29557,23,non
6207-4368,68,non
6207-10582,27,non
6207-106429,44,non
6207-10624,102,non
4855-6207,83,non
177-6207,96,non
6207-158,25,non
6207-3440,26,non
6207-332,24,non
6207-10938,52,non
4936-6207,53,friends
6207-472,53,non
6207-124,38,non
6207-135,30,non
267-6207,19,non
6207-10467,60,non
6207-2890,21,non
6207-3425,31,non
6207-494,42,non
6207-313,16,non
176-6207,68,non
6207-1388,41,non
6207-6278,41,non
6195-6207,68,non
6207-4478,28,non
6207-510,27,non
6207-101,31,non
832-6207,20,non
22-956,48,friends
22-842,121,friends
22-819,86,non
22-19096,34,non
22-3236,29,non
22-1922,75,non
22-18584,50,non
22-3279,18,non
22-337,31,non
22-3756,46,non
22-1940,44,non
22-1201,109,friends
22-1198,23,non
22-4989,20,friends
22-6156,64,non
22-2704,67,non
22-3206,63,friends
22-49383,43,non
22-2810,48,non
22-786,40,non
22-588,64,non
22-446,65,non
22-11060,27,non
22-4794,47,non
22-111,123,friends
22-2798,107,friends
22-2319,30,non
22-4806,34,non
22-4858,15,non
22-3631,26,non
22-4929,136,friends
22-3328,51,non
22-486,41,non
1274-22,84,non
401-22,56,non
4902-22,153,friends
22-19404,53,non
48860-22,34,non
576-22,16,friends
22-10837,56,non
4985-22,90,friends
22-6155,63,non
22-4804,20,non
22-10393,20,non
22-3273,41,non
10388-22,18,non
22-457,45,non
22-211,22,non
22-18898,79,non
22-531,26,friends
22-226,34,non
22-4435,28,friends
22-170,19,non
22-578,103,non
4879-22,12,non
22-14446,48,non
22-3440,26,non
22-11097,45,non
22-38706,27,non
22-3682,60,non
22-332,21,non
22-436,30,non
22-4678,15,non
350-22,49,non
4318-22,24,non
22-4936,21,friends
22-3165,41,non
22-124,18,non
22-10812,46,non
22-3667,39,non
22-135,24,non
267-22,42,friends
22-573,31,non
22-11096,29,non
22-98,18,non
22-521,28,non
22-3155,20,non
22-39727,16,non
22-3129,29,non
22-3396,22,non
22-131,66,non
6116-22,49,non
22-490,19,non
494-22,18,non
22-19544,29,non
313-22,31,non
22-118283,34,non
22-15505,15,non
22-3229,21,non
22-1388,23,non
22-3480,54,friends
22-533,21,non
22-5717,54,non
510-22,14,non
4517-22,39,non
1773-22,13,non
22-11295,32,non
22-2241,38,non
22-4319,12,non
475-1695,138,friends
1922-1695,36,non
3340-1695,59,non
1488-1695,28,non
11019-1695,105,friends
4657-1695,18,non
2810-1695,29,non
1542-1695,48,non
